nproc,nx,ny,xmax,ymax,xr,yr,np,exec_time
16,769,878,5.701166107013113,9.761957916907427,2.5103827199229527,5.338026591599423,13668771,176.6597056388855
32,769,878,5.701166107013113,9.761957916907427,2.5103827199229527,5.338026591599423,13668771,166.9201624393463
8,750,221,1.7981590293578416,1.1353485043062737,6.116019447646425,4.717900877263913,11495620,153.66451239585876
16,750,221,1.7981590293578416,1.1353485043062737,6.116019447646425,4.717900877263913,11495620,77.39499258995056
8,249,435,4.963294241130834,5.058092257989836,9.200396398835151,2.2459813451230923,12518797,230.57278633117676
